timestamp_utc,event,detail
2026-04-03T13:52:46.368976,ALERT_PARTIAL_FACE,"bbox_w=0.328, edge=True"
2026-04-03T13:55:26.512253,MONITORING_STOPPED,User stopped monitoring
2026-04-03T13:55:46.903431,MONITORING_STARTED,session_id=f1cf17e7-fb80-4ad7-be71-50c174330400
2026-04-03T13:55:49.292216,MONITORING_STOPPED,User stopped monitoring
2026-04-03T13:57:13.328617,SERVER_STARTED,Modular backend server initialized
2026-04-03T13:57:46.199510,QUESTIONS_GENERATED,"session=0ce9477c-b962-4df1-8e43-a6767313e723, count=16"
2026-04-03T13:57:51.943263,MONITORING_STARTED,session_id=0ce9477c-b962-4df1-8e43-a6767313e723
2026-04-03T14:00:09.357402,ALERT_PARTIAL_FACE,"bbox_w=0.207, edge=False"
2026-04-03T14:00:13.360297,ALERT_LOOK_AWAY,right
2026-04-03T14:00:20.364973,ALERT_PARTIAL_FACE,"bbox_w=0.213, edge=False"
2026-04-03T14:00:26.239655,MONITORING_STOPPED,User stopped monitoring
2026-04-03T14:41:20.007552,SERVER_STARTED,Modular backend server initialized
2026-04-03T14:42:02.354928,QUESTIONS_GENERATED,"session=4f196944-54f9-4043-9466-d74c2f7954dc, count=16"
2026-04-03T14:42:05.531488,MONITORING_STARTED,session_id=4f196944-54f9-4043-9466-d74c2f7954dc
2026-04-03T14:42:42.596430,ALERT_NO_FACE,duration=2.0s
2026-04-03T14:42:50.614399,ALERT_NO_FACE,duration=2.0s
2026-04-03T14:43:12.594322,ALERT_NO_FACE,duration=2.0s
2026-04-03T14:43:55.622483,ALERT_NO_FACE,duration=2.0s
2026-04-03T14:44:56.629669,ALERT_LOOK_AWAY,left
2026-04-03T14:45:04.593147,ALERT_NO_FACE,duration=2.0s
2026-04-03T14:45:07.611046,ALERT_PARTIAL_FACE,"bbox_w=0.371, edge=True"
2026-04-03T14:45:13.232228,ALERT_PARTIAL_FACE,"bbox_w=0.297, edge=True"
2026-04-03T14:45:18.595444,ALERT_NO_FACE,duration=2.0s
2026-04-03T14:45:28.605388,ALERT_PARTIAL_FACE,"bbox_w=0.475, edge=True"
2026-04-03T14:45:38.631678,ALERT_NO_FACE,duration=2.0s
2026-04-03T14:45:42.625703,ALERT_PARTIAL_FACE,"bbox_w=0.448, edge=True"
2026-04-03T14:45:44.594271,ALERT_NO_FACE,duration=2.0s
2026-04-03T14:46:49.596902,ALERT_NO_FACE,duration=2.0s
2026-04-03T14:46:57.596084,ALERT_PARTIAL_FACE,"bbox_w=0.375, edge=True"
2026-04-03T14:47:08.588608,ALERT_PARTIAL_FACE,"bbox_w=0.356, edge=True"
2026-04-03T14:47:16.607136,ALERT_NO_FACE,duration=2.0s
2026-04-03T14:47:20.594003,ALERT_PARTIAL_FACE,"bbox_w=0.368, edge=True"
2026-04-03T14:47:24.580475,ALERT_NO_FACE,duration=2.0s
2026-04-03T14:47:28.587397,ALERT_PARTIAL_FACE,"bbox_w=0.337, edge=True"
2026-04-03T14:47:31.592711,ALERT_NO_FACE,duration=2.0s
2026-04-03T14:47:32.592203,ALERT_PARTIAL_FACE,"bbox_w=0.358, edge=True"
2026-04-03T14:47:37.610353,ALERT_PARTIAL_FACE,"bbox_w=0.396, edge=True"
2026-04-03T14:48:05.615576,ALERT_PARTIAL_FACE,"bbox_w=0.346, edge=True"
2026-04-03T14:49:19.606141,ALERT_PARTIAL_FACE,"bbox_w=0.329, edge=True"
